description,manufacturer,model,payment,price,release_year,body,color,doors,drive,engine_volume,fuel,seats,transmission,title,user_id
"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Pontiac,Grand Prix,DAILY,12298,2006,CONVERTIBLE,WHITE,2,BACK,3.3,GAS,4,CVT,In blandit ultrices enim.,3
"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Pontiac,Parisienne,DAILY,13778,1984,PICKUP,GREEN,3,BACK,2.3,DIESEL,4,MT,Aliquam sit amet diam in magna bibendum imperdiet.,19
Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,Lexus,ES,DAILY,17218,1989,WAGON,WHITE,4,ALL,3.1,GAS,5,AT,Duis bibendum.,13
In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,GMC,Sierra 2500,HOUR,10248,2007,CONVERTIBLE,GREEN,2,BACK,2.9,PETROL,6,AMT,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,19
Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,Oldsmobile,98,HOUR,21552,1993,SEDAN,GOLD,3,FRONT,1.4,PETROL,2,CVT,Etiam pretium iaculis justo.,1
Nullam varius. Nulla facilisi.,Hyundai,Accent,HOUR,5899,2001,WAGON,TAN,2,BACK,1.6,GAS,5,MT,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",18
"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",Dodge,Neon,HOUR,17404,1995,WAGON,GRAY,2,ALL,3.0,DIESEL,5,MT,Donec posuere metus vitae ipsum.,14
"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",Dodge,Caliber,HOUR,19876,2011,WAGON,ORANGE,3,BACK,3.0,PETROL,3,AMT,Nulla facilisi.,14
Nunc purus. Phasellus in felis. Donec semper sapien a libero.,Volvo,XC70,DAILY,9869,2011,COUPE,BROWN,3,ALL,3.3,GAS,6,CVT,Vestibulum sed magna at nunc commodo placerat.,12
Duis aliquam convallis nunc.,Honda,Accord,HOUR,6839,1997,WAGON,BLUE,2,BACK,1.3,PETROL,5,AMT,Mauris ullamcorper purus sit amet nulla.,2
"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",Ford,Bronco II,HOUR,18453,1987,JEEP,BLACK,3,ALL,3.5,PETROL,3,MT,Morbi ut odio.,20
Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,GMC,Sierra 3500,HOUR,8356,2001,COUPE,YELLOW,3,ALL,2.7,DIESEL,6,AMT,Sed ante.,19
"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Volkswagen,Jetta,HOUR,21150,2000,SUV,WHITE,4,FRONT,3.0,DIESEL,6,AMT,Nam tristique tortor eu pede.,12
Nunc purus. Phasellus in felis. Donec semper sapien a libero.,Mitsubishi,Montero Sport,DAILY,22585,1999,CONVERTIBLE,TAN,4,BACK,1.0,PETROL,6,CVT,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",10
"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Ford,E-Series,DAILY,13591,1963,SEDAN,GREEN,2,BACK,2.5,PETROL,5,AMT,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",19
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",Lincoln,Aviator,DAILY,17619,2005,SEDAN,GOLD,4,BACK,3.6,DIESEL,2,MT,Vivamus in felis eu sapien cursus vestibulum.,17
"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",Infiniti,I,DAILY,14533,2002,SEDAN,GREEN,3,FRONT,2.5,GAS,6,AMT,Sed vel enim sit amet nunc viverra dapibus.,19
"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",Chevrolet,Silverado Hybrid,DAILY,9722,2006,HATCHBACK,GREEN,4,BACK,3.0,DIESEL,5,AMT,Duis at velit eu est congue elementum.,9
"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",Infiniti,G,DAILY,15601,2004,PICKUP,PURPLE,2,BACK,1.7,PETROL,3,AMT,Praesent blandit lacinia erat.,17
In congue.,Plymouth,Sundance,DAILY,10142,1994,COUPE,TAN,4,FRONT,3.6,PETROL,6,AMT,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",20
Integer non velit.,Chevrolet,2500,DAILY,8660,1998,SUV,ORANGE,3,FRONT,3.6,GAS,3,AT,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,17
"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Mercury,Capri,DAILY,7874,1992,HATCHBACK,WHITE,2,ALL,1.7,GAS,3,CVT,Nunc purus.,4
Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,Acura,RDX,DAILY,8363,2010,WAGON,TAN,2,BACK,2.7,GAS,3,CVT,Etiam faucibus cursus urna.,11
Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Mercury,Cougar,DAILY,20335,1984,WAGON,SILVER,3,BACK,3.9,ELECTRIC,6,AMT,Morbi a ipsum.,6
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",Chevrolet,Equinox,DAILY,21613,2012,VAN,ORANGE,3,ALL,1.4,GAS,5,AT,Cras in purus eu magna vulputate luctus.,15
"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Dodge,Ram Van 2500,HOUR,24704,1996,COUPE,WHITE,4,ALL,1.4,PETROL,3,AT,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",13
Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,Ford,F-Series,DAILY,21934,1990,SUV,BROWN,2,BACK,2.9,ELECTRIC,5,MT,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",19
Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,Nissan,240SX,HOUR,16041,1996,HATCHBACK,SILVER,2,BACK,1.5,DIESEL,3,MT,Integer tincidunt ante vel ipsum.,15
Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.,Buick,Century,DAILY,14566,1996,HATCHBACK,ORANGE,4,ALL,1.9,DIESEL,6,MT,Mauris ullamcorper purus sit amet nulla.,1
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",BMW,Z3,HOUR,5776,1997,HATCHBACK,GRAY,2,ALL,1.1,GAS,3,AT,Pellentesque eget nunc.,15
"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",Honda,Accord,DAILY,11304,1993,PICKUP,WHITE,4,BACK,2.9,PETROL,5,CVT,Proin at turpis a pede posuere nonummy.,10
"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",Chevrolet,APV,DAILY,14906,1992,JEEP,SILVER,4,ALL,2.2,DIESEL,4,AT,Aenean sit amet justo.,13
In blandit ultrices enim.,Mitsubishi,Challenger,HOUR,23270,2001,SEDAN,YELLOW,3,BACK,2.8,DIESEL,6,AT,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",12
Nulla tellus. In sagittis dui vel nisl.,Toyota,Prius,DAILY,16524,2009,JEEP,YELLOW,2,FRONT,2.3,DIESEL,3,CVT,Cras in purus eu magna vulputate luctus.,10
Cras in purus eu magna vulputate luctus.,Ford,F250,DAILY,20498,2009,VAN,RED,3,BACK,3.3,PETROL,2,AT,In sagittis dui vel nisl.,15
"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Nissan,Murano,HOUR,18164,2012,PICKUP,SILVER,4,ALL,1.4,PETROL,5,MT,Maecenas rhoncus aliquam lacus.,8
Morbi a ipsum.,Kia,Sportage,HOUR,19346,2012,HATCHBACK,TAN,4,BACK,2.2,PETROL,5,CVT,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",15
"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",Volkswagen,New Beetle,HOUR,5002,2005,SUV,PURPLE,3,ALL,2.6,GAS,3,AMT,Integer non velit.,17
"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",Honda,Accord,DAILY,18743,1997,WAGON,BLUE,4,BACK,1.2,ELECTRIC,6,MT,Aenean auctor gravida sem.,10
Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,Austin,Mini,DAILY,20778,1959,JEEP,GOLD,3,BACK,3.4,DIESEL,4,AMT,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,18
"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",Lotus,Elise,HOUR,16040,2008,COUPE,BLACK,3,ALL,3.4,PETROL,3,MT,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",19
Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Infiniti,G,DAILY,12933,2010,HATCHBACK,BROWN,4,ALL,1.5,ELECTRIC,5,MT,Nullam sit amet turpis elementum ligula vehicula consequat.,19
"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Kia,Amanti,DAILY,19172,2005,SEDAN,PURPLE,3,FRONT,2.9,GAS,4,AT,Duis mattis egestas metus.,2
"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",Infiniti,M,DAILY,7636,2010,HATCHBACK,PURPLE,4,ALL,3.4,DIESEL,4,CVT,Aliquam sit amet diam in magna bibendum imperdiet.,18
Etiam pretium iaculis justo.,Pontiac,Fiero,DAILY,19006,1987,JEEP,GREEN,3,FRONT,3.7,ELECTRIC,4,AT,Mauris ullamcorper purus sit amet nulla.,12
Nam tristique tortor eu pede.,Land Rover,Discovery,HOUR,9779,1998,JEEP,PURPLE,3,ALL,3.4,PETROL,4,AT,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",20
Sed accumsan felis.,Audi,4000s,DAILY,9311,1986,SUV,BLUE,4,ALL,2.1,GAS,4,MT,Morbi a ipsum.,14
Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,Acura,Integra,DAILY,18433,1994,PICKUP,BROWN,4,FRONT,1.5,GAS,3,CVT,Nam nulla.,7
In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,Toyota,T100,HOUR,7435,1995,VAN,ORANGE,4,ALL,3.6,ELECTRIC,2,CVT,Maecenas pulvinar lobortis est.,1
In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Honda,Accord,HOUR,7840,1996,SEDAN,BROWN,2,BACK,3.0,GAS,2,AMT,Quisque ut erat.,13
"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",BMW,Z3,HOUR,12557,2000,WAGON,GREEN,3,ALL,3.5,PETROL,3,MT,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",12
Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Chevrolet,Cavalier,HOUR,23780,2000,PICKUP,ORANGE,3,BACK,3.1,GAS,3,CVT,Duis mattis egestas metus.,10
Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,GMC,2500 Club Coupe,HOUR,12972,1993,SEDAN,BLACK,2,FRONT,3.6,ELECTRIC,4,AT,Nullam porttitor lacus at turpis.,12
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,GMC,Acadia,HOUR,24633,2012,JEEP,GRAY,3,BACK,3.4,PETROL,6,AMT,Nulla facilisi.,19
Proin at turpis a pede posuere nonummy.,BMW,X3,HOUR,23227,2004,VAN,GOLD,3,FRONT,3.5,GAS,6,AT,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",17
Ut at dolor quis odio consequat varius. Integer ac leo.,Volkswagen,rio,DAILY,5026,1998,SEDAN,RED,3,BACK,1.7,GAS,5,CVT,Integer ac neque.,12
"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",Lexus,GS,DAILY,10635,1997,SUV,GREEN,3,FRONT,3.6,ELECTRIC,2,AMT,Morbi porttitor lorem id ligula.,1
"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",Dodge,Ram Van B250,DAILY,11953,1994,WAGON,BLUE,3,BACK,1.3,ELECTRIC,5,MT,Nunc rhoncus dui vel sem.,16
Morbi non quam nec dui luctus rutrum. Nulla tellus.,Buick,Century,HOUR,14090,1986,JEEP,ORANGE,2,BACK,3.3,PETROL,5,CVT,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",10
"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",Chevrolet,Impala SS,DAILY,10436,1994,SEDAN,TAN,4,FRONT,3.6,GAS,2,AMT,Donec semper sapien a libero.,8
"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",Jeep,Wrangler,DAILY,20633,1998,CONVERTIBLE,BLUE,2,BACK,2.9,PETROL,3,MT,Praesent blandit lacinia erat.,3
Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,Ford,Explorer Sport Trac,HOUR,12422,2003,CONVERTIBLE,BLACK,2,ALL,3.2,PETROL,4,CVT,Nulla tempus.,11
Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,Volvo,960,HOUR,23329,1997,PICKUP,BLACK,4,FRONT,3.1,ELECTRIC,2,CVT,Vestibulum sed magna at nunc commodo placerat.,7
"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",Toyota,Camry,HOUR,8467,1993,VAN,GOLD,3,BACK,3.9,PETROL,4,AMT,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",2
Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,Chrysler,Sebring,HOUR,7562,1998,VAN,ORANGE,4,ALL,1.9,DIESEL,4,CVT,Quisque porta volutpat erat.,19
Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,Suzuki,Grand Vitara,DAILY,7153,1999,JEEP,GRAY,4,FRONT,3.7,ELECTRIC,3,MT,Nulla justo.,20
"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",Mercury,Grand Marquis,HOUR,14681,1988,SUV,TAN,3,BACK,3.7,GAS,6,CVT,Nulla tempus.,15
Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Hyundai,Santa Fe,DAILY,18472,2008,VAN,GRAY,4,FRONT,3.7,DIESEL,2,CVT,Quisque porta volutpat erat.,20
"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",Isuzu,Trooper,HOUR,11605,1993,HATCHBACK,WHITE,2,ALL,3.1,PETROL,2,AT,Morbi ut odio.,13
"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",Volkswagen,Golf,HOUR,15471,1985,CONVERTIBLE,GREEN,4,BACK,3.0,DIESEL,2,AT,Suspendisse potenti.,15
Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Volkswagen,rio,HOUR,22301,2002,CONVERTIBLE,GOLD,2,FRONT,2.7,DIESEL,6,CVT,Curabitur in libero ut massa volutpat convallis.,3
"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",Mercedes-Benz,S-Class,DAILY,17081,2010,CONVERTIBLE,PURPLE,2,ALL,1.0,ELECTRIC,4,AT,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",16
Ut at dolor quis odio consequat varius. Integer ac leo.,Chevrolet,Tahoe,DAILY,15851,2010,VAN,WHITE,3,BACK,3.4,DIESEL,3,AT,Praesent id massa id nisl venenatis lacinia.,17
Curabitur gravida nisi at nibh.,GMC,3500,HOUR,9745,1992,COUPE,PURPLE,4,BACK,3.7,DIESEL,4,AT,Quisque id justo sit amet sapien dignissim vestibulum.,17
Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.,Infiniti,G37,DAILY,12469,2009,CONVERTIBLE,WHITE,3,FRONT,2.5,GAS,4,MT,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",12
"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Mitsubishi,Mirage,DAILY,19786,1984,VAN,BROWN,4,FRONT,2.9,ELECTRIC,4,CVT,Vivamus tortor.,13
"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",GMC,Vandura 3500,HOUR,21190,1993,JEEP,YELLOW,4,BACK,1.7,PETROL,6,CVT,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",18
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,Ford,Bronco II,DAILY,18483,1984,WAGON,GREEN,2,ALL,1.9,ELECTRIC,5,AT,Aenean fermentum.,18
"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.",Toyota,Prius,DAILY,18195,2003,HATCHBACK,WHITE,2,FRONT,2.5,DIESEL,2,AT,Nullam molestie nibh in lectus.,17
Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Toyota,Matrix,HOUR,12108,2006,WAGON,GREEN,4,FRONT,3.6,GAS,5,CVT,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",7
Duis bibendum.,Volkswagen,Passat,HOUR,7806,1994,VAN,RED,2,ALL,1.4,PETROL,6,AMT,Nulla tellus.,9
Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,BMW,3 Series,HOUR,8606,1999,WAGON,GREEN,3,ALL,2.7,ELECTRIC,6,CVT,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",19
"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Mercedes-Benz,S-Class,HOUR,24412,1984,JEEP,GRAY,2,FRONT,3.3,ELECTRIC,3,AMT,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",18
In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Saab,900,HOUR,20987,1986,SEDAN,ORANGE,3,FRONT,2.1,GAS,4,CVT,Integer a nibh.,20
"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Nissan,Armada,DAILY,10554,2010,SUV,ORANGE,4,BACK,1.8,PETROL,3,MT,Vestibulum sed magna at nunc commodo placerat.,17
Donec dapibus. Duis at velit eu est congue elementum.,Scion,tC,HOUR,16912,2008,VAN,SILVER,2,FRONT,1.7,PETROL,6,CVT,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2
Etiam vel augue. Vestibulum rutrum rutrum neque.,Chevrolet,Aveo,HOUR,17918,2005,HATCHBACK,RED,3,ALL,1.6,PETROL,3,AT,Vivamus vestibulum sagittis sapien.,13
"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Maybach,62,DAILY,22004,2011,HATCHBACK,TAN,3,FRONT,1.3,ELECTRIC,6,MT,Cras non velit nec nisi vulputate nonummy.,18
Maecenas pulvinar lobortis est.,Ram,1500,HOUR,19876,2012,COUPE,BLACK,4,ALL,1.7,DIESEL,2,CVT,Duis at velit eu est congue elementum.,15
"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",Honda,Odyssey,DAILY,8493,1999,SUV,RED,3,FRONT,2.9,PETROL,5,AT,Sed vel enim sit amet nunc viverra dapibus.,16
Pellentesque ultrices mattis odio.,Honda,CR-V,HOUR,15835,1997,HATCHBACK,WHITE,3,ALL,1.0,PETROL,5,MT,Aenean lectus.,16
"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Toyota,Tacoma Xtra,HOUR,12107,1996,SUV,BROWN,4,FRONT,1.3,GAS,5,MT,Cras in purus eu magna vulputate luctus.,4
Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Audi,80,DAILY,9726,1989,HATCHBACK,GREEN,2,FRONT,2.3,PETROL,6,MT,Morbi porttitor lorem id ligula.,7
Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,Lamborghini,Countach,HOUR,24190,1989,PICKUP,YELLOW,3,BACK,2.4,ELECTRIC,3,AT,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",12
Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,Land Rover,LR2,HOUR,13646,2012,COUPE,GRAY,2,BACK,3.4,ELECTRIC,5,AMT,Fusce consequat.,15
"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",Chevrolet,Monte Carlo,HOUR,6453,1973,JEEP,BLACK,2,BACK,1.7,DIESEL,3,AMT,Aliquam quis turpis eget elit sodales scelerisque.,15
"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Toyota,Matrix,DAILY,20312,2010,VAN,WHITE,2,ALL,2.3,ELECTRIC,2,AT,Vestibulum sed magna at nunc commodo placerat.,18
"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Suzuki,Swift,DAILY,24289,1995,SEDAN,GRAY,2,FRONT,1.9,ELECTRIC,4,AMT,Nam tristique tortor eu pede.,17
Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,Mercedes-Benz,M-Class,HOUR,8993,2011,SUV,BLUE,2,ALL,2.2,DIESEL,5,MT,Nulla nisl.,15
"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",BMW,3 Series,DAILY,5373,2000,JEEP,BROWN,3,BACK,1.1,GAS,3,AMT,Proin interdum mauris non ligula pellentesque ultrices.,11
In sagittis dui vel nisl. Duis ac nibh.,Mercury,Topaz,HOUR,10353,1986,VAN,ORANGE,3,BACK,1.8,DIESEL,2,AMT,Morbi vel lectus in quam fringilla rhoncus.,15
"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",Subaru,Impreza,HOUR,23965,2003,PICKUP,RED,3,ALL,1.2,DIESEL,3,AT,Nullam varius.,5
Donec semper sapien a libero. Nam dui.,Plymouth,Prowler,HOUR,22068,1997,PICKUP,GREEN,4,FRONT,3.2,ELECTRIC,2,AMT,Phasellus in felis.,4
